technical_match_ratio,technical_partial_ratio,technical_missing_ratio,mandatory_requirement_compliance,document_completeness,required_documents_present,required_documents_missing,evidence_coverage,specification_match_score,specification_conflict_count,experience_years,relevant_experience_score,delivery_days,delivery_compliance,quoted_price,price_score,standards_coverage,high_risk_requirement_count,missing_evidence_count,conflict_count,compliance_class
0.87,0.123,0.007,1,1.0,5,0,0.978,87.0,0,10,100,42,1,21592.46,56.8,0.776,0,0,0,3
0.39,0.0,0.793,0,0.404,2,3,0.348,39.0,11,3,35,35,0,6997.78,86.0,0.213,3,6,11,0
0.774,0.088,0.138,1,0.925,4,1,0.842,77.4,2,9,100,39,1,29440.06,41.1,0.718,1,1,2,3
0.6,0.182,0.218,1,0.627,3,2,0.51,60.0,3,2,10,27,1,11409.39,77.2,0.659,2,4,3,2
0.999,0.0,0.028,1,1.0,5,0,0.989,99.9,0,5,56,84,1,22176.59,55.6,0.875,0,0,1,3
0.651,0.022,0.327,0,0.559,2,3,0.449,65.1,4,1,21,9,1,23004.09,54.0,0.707,1,5,5,0
0.863,0.076,0.061,1,0.675,3,2,0.641,86.3,0,4,40,57,1,32578.78,34.8,0.848,0,3,0,3
0.791,0.126,0.083,1,0.882,4,1,0.802,79.1,1,10,100,36,1,25552.17,48.9,0.85,1,1,1,3
0.371,0.083,0.546,0,0.354,1,4,0.353,37.1,8,1,12,49,0,8602.18,82.8,0.193,3,6,8,0
0.061,0.57,0.369,0,0.0,0,5,0.0,6.1,5,2,36,38,0,7584.8,84.8,0.0,4,10,7,0
0.439,0.451,0.11,1,0.453,2,3,0.394,43.9,1,1,16,84,0,18252.49,63.5,0.336,2,6,2,1
0.806,0.117,0.077,1,0.757,3,2,0.606,80.6,1,10,100,58,1,15233.73,69.5,0.717,0,3,1,3
0.711,0.22,0.069,1,0.525,2,3,0.447,71.1,1,5,54,29,1,22791.94,54.4,0.67,1,5,3,2
0.76,0.204,0.036,1,0.711,3,2,0.571,76.0,0,3,26,50,1,15830.41,68.3,0.663,1,4,0,2
0.56,0.197,0.244,1,0.654,3,2,0.596,56.0,3,3,38,48,0,17094.4,65.8,0.468,2,4,3,2
0.707,0.145,0.148,1,0.602,3,2,0.494,70.7,2,8,92,10,1,31270.44,37.5,0.533,1,5,3,2
0.337,0.337,0.326,0,0.416,2,3,0.415,33.7,4,1,19,81,0,17982.61,64.0,0.382,3,5,5,0
0.567,0.054,0.379,1,0.596,2,3,0.51,56.7,5,1,21,74,0,20635.91,58.7,0.52,2,4,5,1
0.244,0.311,0.444,0,0.106,0,5,0.095,24.4,6,2,10,12,1,10049.06,79.9,0.085,3,9,8,0
0.864,0.095,0.04,1,0.766,3,2,0.718,86.4,0,11,100,21,1,31505.17,37.0,0.788,0,2,0,3
0.966,0.0,0.048,1,0.816,4,1,0.772,96.6,0,4,41,41,1,47425.73,5.1,0.983,0,2,0,2
0.318,0.281,0.401,0,0.184,0,5,0.177,31.8,6,1,29,10,1,9742.95,80.5,0.295,3,8,8,0
0.814,0.051,0.135,1,0.83,4,1,0.737,81.4,2,11,100,72,1,23588.82,52.8,0.886,0,2,2,3
0.376,0.01,0.614,0,0.232,1,4,0.222,37.6,9,0,9,33,0,16828.96,66.3,0.221,3,7,9,0
0.598,0.292,0.11,1,0.703,3,2,0.685,59.8,1,4,44,58,0,19932.18,60.1,0.637,2,3,1,2
0.589,0.095,0.316,1,0.666,3,2,0.606,58.9,4,2,14,26,1,14539.94,70.9,0.661,2,3,6,1
0.739,0.119,0.142,1,0.773,3,2,0.697,73.9,2,3,34,66,1,24824.07,50.4,0.569,1,3,2,2
0.805,0.163,0.033,1,0.913,4,1,0.799,80.5,0,8,88,35,1,18648.64,62.7,0.857,0,2,0,3
0.094,0.523,0.383,0,0.229,1,4,0.199,9.4,5,2,17,21,1,10985.04,78.0,0.0,4,8,6,0
0.801,0.182,0.017,1,0.76,3,2,0.69,80.1,0,8,71,13,1,27143.36,45.7,0.822,0,3,2,3
0.481,0.377,0.142,0,0.48,2,3,0.425,48.1,2,0,18,69,0,16939.68,66.1,0.347,2,5,2,0
0.893,0.038,0.069,1,1.0,5,0,0.907,89.3,1,9,80,19,1,19932.95,60.1,0.821,0,0,1,3
0.487,0.225,0.287,0,0.622,3,2,0.571,48.7,4,2,24,72,0,23361.4,53.3,0.432,2,4,4,0
0.821,0.163,0.017,1,0.651,3,2,0.619,82.1,0,12,100,40,1,29305.7,41.4,0.628,0,3,1,3
0.798,0.198,0.004,1,0.69,3,2,0.645,79.8,0,10,100,73,1,32186.51,35.6,0.765,1,3,0,3
0.998,0.0,0.03,1,1.0,5,0,0.993,99.8,0,8,90,20,1,25260.17,49.5,1.0,0,0,0,2
0.854,0.127,0.018,1,0.912,4,1,0.858,85.4,0,7,79,17,1,16485.59,67.0,0.768,0,1,0,3
0.55,0.228,0.223,1,0.524,2,3,0.45,55.0,3,3,43,87,0,31711.7,36.6,0.496,2,5,4,1
0.885,0.114,0.001,1,0.793,3,2,0.72,88.5,0,11,100,79,1,19877.46,60.2,0.936,0,2,0,3
0.652,0.308,0.041,0,0.817,4,1,0.673,65.2,0,8,71,23,1,20131.2,59.7,0.601,1,3,0,1
0.056,0.512,0.432,0,0.149,0,5,0.127,5.6,6,0,10,77,0,13599.42,72.8,0.107,4,8,6,0
0.884,0.098,0.018,1,1.0,5,0,0.837,88.4,0,6,68,32,1,17388.74,65.2,0.936,0,1,0,3
0.944,0.025,0.031,1,1.0,5,0,0.879,94.4,0,8,74,62,1,22522.91,55.0,0.754,0,1,1,3
0.615,0.31,0.074,1,0.549,2,3,0.524,61.5,1,11,100,46,1,28204.72,43.6,0.564,1,4,1,2
0.674,0.203,0.123,1,0.752,3,2,0.642,67.4,1,14,100,50,1,30185.76,39.6,0.763,1,3,2,2
0.756,0.231,0.013,1,0.86,4,1,0.798,75.6,0,9,84,86,1,31229.89,37.5,0.631,1,2,0,3
0.695,0.0,0.383,0,0.777,3,2,0.766,69.5,5,1,20,13,1,10848.65,78.3,0.704,1,2,7,0
0.994,0.0,0.047,1,0.984,4,1,0.957,99.4,0,5,57,65,1,44012.04,12.0,0.805,0,0,2,3
0.348,0.529,0.123,1,0.284,1,4,0.269,34.8,1,0,-7,31,0,28446.39,43.1,0.304,3,7,3,1
0.884,0.093,0.023,1,1.0,5,0,0.8,88.4,0,4,32,45,1,15331.99,69.3,0.699,0,1,0,3
0.192,0.218,0.59,0,0.151,0,5,0.124,19.2,8,3,24,71,0,8581.66,82.8,0.025,4,8,10,0
0.419,0.411,0.17,0,0.226,1,4,0.225,41.9,2,0,14,74,0,15456.35,69.1,0.504,2,7,2,0
0.167,0.093,0.74,1,0.154,0,5,0.142,16.7,11,3,23,65,0,11023.7,78.0,0.218,4,8,11,0
0.824,0.174,0.002,1,0.778,3,2,0.628,82.4,0,5,63,12,1,43026.94,13.9,0.813,0,3,1,3
0.779,0.142,0.079,1,0.785,3,2,0.705,77.9,1,10,92,38,1,21584.52,56.8,0.766,1,2,1,3
0.358,0.0,0.73,0,0.314,1,4,0.269,35.8,10,0,-8,31,0,17782.9,64.4,0.169,3,7,10,0
0.947,0.039,0.014,1,0.848,4,1,0.679,94.7,0,7,75,24,1,17836.62,64.3,0.813,0,3,2,3
0.34,0.112,0.548,0,0.377,1,4,0.364,34.0,8,2,22,39,0,18179.45,63.6,0.38,3,6,9,0
0.973,0.0,0.035,1,1.0,5,0,0.939,97.3,0,6,76,44,1,21622.75,56.8,1.0,0,0,1,3
0.864,0.136,0.001,1,0.755,3,2,0.741,86.4,0,6,51,84,1,28915.9,42.2,0.741,0,2,1,3
0.131,0.29,0.58,0,0.081,0,5,0.065,13.1,8,2,25,76,0,9250.14,81.5,0.0,4,9,8,0
0.878,0.113,0.009,1,0.98,4,1,0.939,87.8,0,6,76,70,1,39786.02,20.4,0.699,0,0,1,3
0.548,0.338,0.114,1,0.738,3,2,0.733,54.8,1,2,29,82,0,10614.67,78.8,0.355,2,2,3,2
0.831,0.066,0.102,1,0.741,3,2,0.74,83.1,1,5,52,45,1,23175.6,53.6,0.879,0,2,1,3
0.955,0.034,0.012,1,0.807,4,1,0.786,95.5,0,14,100,27,1,46833.36,6.3,1.0,0,2,1,3
0.888,0.096,0.016,1,0.817,4,1,0.772,88.8,0,5,56,31,1,40022.34,20.0,0.857,0,2,1,3
0.648,0.322,0.031,1,0.509,2,3,0.454,64.8,0,6,56,9,1,29919.95,40.2,0.536,1,5,1,2
0.837,0.14,0.023,1,0.638,3,2,0.586,83.7,0,14,100,15,1,22018.37,56.0,0.785,0,4,1,3
0.681,0.2,0.12,1,0.663,3,2,0.532,68.1,1,4,43,44,1,17291.56,65.4,0.689,1,4,2,2
0.808,0.168,0.024,1,0.65,3,2,0.551,80.8,0,8,91,26,1,27110.58,45.8,0.841,0,4,0,3
0.214,0.045,0.741,0,0.344,1,4,0.299,21.4,11,1,5,52,0,15397.91,69.2,0.26,3,7,13,1
0.255,0.092,0.653,0,0.429,2,3,0.348,25.5,9,1,11,14,1,19210.26,61.6,0.242,3,6,9,0
0.745,0.156,0.099,1,0.784,3,2,0.75,74.5,1,5,48,66,1,28289.74,43.4,0.57,1,2,3,2
0.364,0.275,0.362,0,0.554,2,3,0.481,36.4,5,4,52,38,0,22454.89,55.1,0.33,3,5,5,0
0.699,0.0,0.392,1,0.578,2,3,0.541,69.9,5,0,-4,82,0,14354.83,71.3,0.787,1,4,5,1
0.926,0.037,0.037,1,1.0,5,0,0.901,92.6,0,3,38,42,1,16028.81,67.9,0.844,0,0,1,3
0.838,0.064,0.098,1,0.751,3,2,0.655,83.8,1,4,37,27,1,28327.83,43.3,0.677,0,3,3,2
0.836,0.152,0.012,1,1.0,5,0,0.836,83.6,0,8,82,47,1,23653.09,52.7,0.897,0,1,0,3
0.708,0.203,0.089,1,0.664,3,2,0.66,70.8,1,5,44,11,1,18129.75,63.7,0.74,1,3,2,2
0.891,0.097,0.012,1,0.72,3,2,0.601,89.1,0,12,100,7,1,30730.18,38.5,0.867,0,3,1,3
0.444,0.342,0.214,1,0.386,1,4,0.35,44.4,3,0,13,50,0,21159.22,57.7,0.503,2,6,3,1
0.61,0.242,0.148,1,0.503,2,3,0.407,61.0,2,9,82,76,1,14500.26,71.0,0.437,1,5,2,2
0.806,0.134,0.06,1,0.881,4,1,0.708,80.6,0,4,58,63,1,24502.81,51.0,0.683,0,2,0,3
0.513,0.349,0.138,0,0.37,1,4,0.366,51.3,2,1,20,7,1,28270.74,43.5,0.36,2,6,4,0
0.851,0.116,0.033,1,1.0,5,0,0.875,85.1,0,4,47,23,1,44080.7,11.8,0.91,0,1,1,3
0.318,0.0,0.759,0,0.495,2,3,0.477,31.8,11,0,15,68,0,14867.68,70.3,0.418,3,5,11,0
0.999,0.0,0.038,1,0.835,4,1,0.716,99.9,0,6,51,10,1,38365.77,23.3,1.0,0,2,2,3
0.887,0.072,0.041,1,0.735,3,2,0.668,88.7,0,7,74,71,1,27826.15,44.3,0.806,0,3,0,3
0.479,0.349,0.171,0,0.37,1,4,0.302,47.9,2,1,1,52,0,22511.13,55.0,0.442,2,6,4,0
0.983,0.0,0.041,1,0.826,4,1,0.686,98.3,0,14,100,21,1,28802.79,42.4,0.948,0,3,0,3
0.756,0.12,0.123,1,0.915,4,1,0.745,75.6,1,11,100,81,1,19501.86,61.0,0.616,1,2,3,3
0.367,0.348,0.285,1,0.435,2,3,0.428,36.7,4,1,3,36,0,27903.77,44.2,0.248,3,5,6,1
0.072,0.287,0.641,0,0.083,0,5,0.078,7.2,9,1,28,48,0,18766.29,62.5,0.0,4,9,9,0
0.875,0.099,0.026,1,0.72,3,2,0.576,87.5,0,8,90,15,1,42781.03,14.4,0.869,0,4,1,3
0.662,0.007,0.331,1,0.565,2,3,0.486,66.2,4,3,47,45,0,26688.75,46.6,0.491,1,5,6,1
0.776,0.199,0.025,1,0.921,4,1,0.777,77.6,0,8,85,43,1,26049.29,47.9,0.758,1,2,0,3
0.456,0.265,0.278,1,0.651,3,2,0.539,45.6,4,1,2,48,0,20704.99,58.6,0.472,2,4,4,1
0.826,0.169,0.005,1,0.915,4,1,0.838,82.6,0,6,57,42,1,21715.36,56.6,0.723,0,1,2,3
0.328,0.417,0.256,0,0.448,2,3,0.379,32.8,3,1,2,50,0,18108.34,63.8,0.228,3,6,3,0
0.932,0.04,0.028,1,1.0,5,0,0.893,93.2,0,14,100,42,1,48658.3,2.7,0.923,0,1,1,3
0.464,0.309,0.227,1,0.264,1,4,0.227,46.4,3,4,52,11,1,28429.51,43.1,0.494,2,7,5,1
0.628,0.334,0.039,1,0.774,3,2,0.713,62.8,0,6,51,20,1,12941.23,74.1,0.496,1,2,1,2
0.439,0.39,0.172,1,0.569,2,3,0.487,43.9,2,3,37,61,0,14044.11,71.9,0.474,2,5,3,1
0.717,0.208,0.075,1,0.733,3,2,0.679,71.7,1,10,99,36,1,28035.55,43.9,0.56,1,3,2,3
0.865,0.134,0.001,1,0.726,3,2,0.613,86.5,0,6,67,16,1,43786.82,12.4,0.704,0,3,1,3
0.897,0.072,0.03,1,1.0,5,0,0.835,89.7,0,5,48,12,1,20123.09,59.8,0.808,0,1,2,3
0.054,0.164,0.782,0,0.24,1,4,0.213,5.4,11,3,37,66,0,17771.73,64.5,0.0,4,7,11,1
0.646,0.345,0.009,1,0.63,3,2,0.511,64.6,0,4,58,37,1,27375.88,45.2,0.741,1,4,2,2
0.049,0.5,0.452,0,0.125,0,5,0.102,4.9,6,0,-6,58,0,7606.29,84.8,0.045,4,8,8,0
0.838,0.102,0.061,1,0.779,3,2,0.705,83.8,0,9,84,11,1,10275.78,79.4,0.762,0,2,1,3
0.104,0.216,0.68,0,0.118,0,5,0.1,10.4,10,1,17,59,0,17023.06,66.0,0.192,4,9,10,0
0.219,0.254,0.527,0,0.058,0,5,0.052,21.9,7,3,35,88,0,12140.27,75.7,0.132,3,9,8,0
0.836,0.031,0.134,1,0.95,4,1,0.82,83.6,2,4,57,54,1,16366.77,67.3,0.888,0,1,2,3
0.965,0.01,0.025,1,0.92,4,1,0.818,96.5,0,3,47,51,1,20255.92,59.5,0.986,0,1,0,3
0.613,0.375,0.013,1,0.441,2,3,0.359,61.3,0,7,79,27,1,19689.88,60.6,0.551,1,6,0,2
0.988,0.0,0.039,1,0.93,4,1,0.821,98.8,0,8,77,70,1,29850.39,40.3,0.813,0,1,0,3
0.956,0.032,0.011,1,1.0,5,0,0.933,95.6,0,3,23,74,1,42112.18,15.8,0.95,0,0,2,3
0.387,0.0,0.699,0,0.579,2,3,0.533,38.7,10,3,21,17,1,5656.03,88.7,0.221,3,4,10,0
0.15,0.275,0.575,0,0.016,0,5,0.014,15.0,8,3,38,52,0,5190.72,89.6,0.248,4,9,8,0
0.652,0.171,0.178,1,0.706,3,2,0.596,65.2,2,3,30,28,1,34616.74,30.8,0.733,1,4,3,3
0.274,0.38,0.346,1,0.269,1,4,0.224,27.4,5,2,14,67,0,16151.36,67.7,0.258,3,7,5,0
0.338,0.389,0.273,1,0.311,1,4,0.259,33.8,4,0,1,11,1,32036.27,35.9,0.221,3,7,5,1
0.932,0.053,0.016,1,1.0,5,0,0.963,93.2,0,13,100,47,1,28134.1,43.7,0.893,0,0,2,3
0.968,0.0,0.042,1,0.772,3,2,0.734,96.8,0,11,100,81,1,41469.26,17.1,1.0,0,2,0,3
0.637,0.305,0.058,1,0.75,3,2,0.632,63.7,0,7,65,60,1,27390.45,45.2,0.438,1,3,1,2
0.618,0.254,0.128,1,0.61,3,2,0.566,61.8,1,1,22,10,1,11320.1,77.4,0.564,1,4,1,2
0.607,0.345,0.048,1,0.466,2,3,0.438,60.7,0,12,100,37,1,30628.27,38.7,0.563,1,5,1,2
0.294,0.288,0.418,0,0.119,0,5,0.114,29.4,6,2,34,51,0,7602.2,84.8,0.285,3,8,8,0
0.574,0.028,0.397,1,0.67,3,2,0.664,57.4,5,0,9,67,0,34491.17,31.0,0.424,2,3,5,1
0.776,0.119,0.105,1,0.889,4,1,0.721,77.6,1,12,100,75,1,31048.34,37.9,0.632,1,2,3,3
0.745,0.235,0.02,1,0.836,4,1,0.752,74.5,0,10,100,76,1,11432.01,77.1,0.612,1,2,0,3
0.669,0.089,0.242,0,0.582,2,3,0.471,66.9,3,3,26,41,0,16890.31,66.2,0.705,1,5,4,0
0.472,0.175,0.353,0,0.334,1,4,0.324,47.2,5,3,37,63,0,18648.01,62.7,0.366,2,6,7,0
0.095,0.239,0.666,0,0.0,0,5,0.0,9.5,9,1,25,20,1,15962.31,68.1,0.189,4,10,9,0
0.659,0.256,0.085,1,0.848,4,1,0.782,65.9,1,11,100,56,1,28000.2,44.0,0.585,1,2,1,3
0.764,0.089,0.147,1,0.725,3,2,0.659,76.4,2,8,86,23,1,25322.5,49.4,0.631,1,3,4,2
0.642,0.258,0.1,1,0.481,2,3,0.468,64.2,1,9,100,82,1,11556.83,76.9,0.596,1,5,3,2
0.616,0.266,0.118,1,0.519,2,3,0.432,61.6,1,6,63,21,1,15122.03,69.8,0.679,1,5,3,2
0.848,0.13,0.023,1,1.0,5,0,0.954,84.8,0,4,54,9,1,46822.71,6.4,0.809,0,0,2,3
0.263,0.026,0.711,0,0.373,1,4,0.37,26.3,10,3,47,47,0,13663.9,72.7,0.253,3,6,11,0
0.666,0.074,0.26,0,0.744,3,2,0.714,66.6,3,2,22,9,1,32429.66,35.1,0.517,1,2,5,0
0.61,0.335,0.055,1,0.738,3,2,0.637,61.0,0,8,83,25,1,32060.41,35.9,0.651,1,3,1,2
0.884,0.067,0.049,1,0.951,4,1,0.881,88.4,0,12,100,33,1,39040.13,21.9,0.711,0,1,1,3
0.816,0.148,0.037,1,0.691,3,2,0.671,81.6,0,4,35,89,1,41585.38,16.8,0.912,0,3,1,2
0.694,0.268,0.038,1,0.846,4,1,0.766,69.4,0,14,100,68,1,27976.94,44.0,0.62,1,2,0,3
0.657,0.251,0.092,1,0.688,3,2,0.652,65.7,1,13,100,39,1,13156.62,73.7,0.66,1,3,3,2
0.621,0.353,0.026,1,0.512,2,3,0.495,62.1,0,5,43,64,1,22816.37,54.4,0.512,1,5,2,2
0.122,0.252,0.627,1,0.27,1,4,0.257,12.2,9,3,32,85,0,8904.3,82.2,0.194,4,7,11,0
0.633,0.3,0.067,1,0.779,3,2,0.708,63.3,1,5,69,84,1,21976.75,56.0,0.439,1,2,3,2
0.386,0.25,0.364,0,0.576,2,3,0.556,38.6,5,0,17,51,0,19442.16,61.1,0.404,3,4,7,0
0.856,0.1,0.044,1,0.701,3,2,0.66,85.6,0,6,57,87,1,23466.28,53.1,0.66,0,3,0,3
0.539,0.271,0.189,0,0.637,3,2,0.515,53.9,2,0,18,47,0,34725.71,30.5,0.527,2,4,3,0
0.857,0.121,0.021,1,0.764,3,2,0.732,85.7,0,7,64,54,1,44098.07,11.8,0.837,0,2,0,3
0.364,0.002,0.635,0,0.515,2,3,0.471,36.4,9,3,41,82,0,11966.5,76.1,0.205,3,5,9,0
0.368,0.247,0.384,1,0.484,2,3,0.449,36.8,5,3,47,10,1,19612.78,60.8,0.315,3,5,7,1
0.92,0.043,0.037,1,0.923,4,1,0.855,92.0,0,8,94,88,1,27664.86,44.7,0.862,0,1,1,3
0.488,0.277,0.235,1,0.537,2,3,0.48,48.8,3,3,43,55,0,22914.32,54.2,0.29,2,5,3,2
0.969,0.017,0.014,1,0.954,4,1,0.847,96.9,0,12,100,60,1,47611.38,4.8,0.888,0,1,1,3
0.634,0.314,0.052,1,0.784,3,2,0.704,63.4,0,5,50,83,1,33235.67,33.5,0.484,1,2,2,2
0.865,0.035,0.101,1,0.935,4,1,0.803,86.5,1,9,100,75,1,10039.13,79.9,0.856,0,1,2,3
0.324,0.395,0.281,1,0.17,0,5,0.149,32.4,4,3,37,25,1,24908.04,50.2,0.289,3,8,6,1
0.696,0.191,0.112,1,0.755,3,2,0.701,69.6,1,13,100,16,1,22553.84,54.9,0.538,1,2,3,2
0.369,0.34,0.291,1,0.381,1,4,0.368,36.9,4,1,16,47,0,20550.86,58.9,0.257,3,6,5,1
0.613,0.368,0.018,1,0.55,2,3,0.521,61.3,0,8,97,27,1,27312.32,45.4,0.542,1,4,0,2
0.423,0.241,0.337,1,0.542,2,3,0.523,42.3,5,0,12,81,0,24554.97,50.9,0.334,2,4,7,1
0.807,0.137,0.056,1,0.779,3,2,0.645,80.7,0,3,34,26,1,18494.22,63.0,0.762,0,3,0,3
0.154,0.15,0.696,0,0.0,0,5,0.0,15.4,10,3,43,82,0,13395.33,73.2,0.0,4,10,11,0
0.846,0.105,0.049,1,0.858,4,1,0.71,84.6,0,13,100,70,1,29495.26,41.0,0.764,0,2,1,3
0.195,0.44,0.365,0,0.143,0,5,0.125,19.5,5,3,37,79,0,19760.2,60.5,0.082,4,8,7,0
0.454,0.344,0.202,1,0.316,1,4,0.288,45.4,3,4,51,59,0,30841.25,38.3,0.386,2,7,4,1
0.378,0.505,0.117,0,0.286,1,4,0.284,37.8,1,3,38,7,1,24511.69,51.0,0.22,3,7,3,0
0.747,0.193,0.06,1,0.899,4,1,0.831,74.7,0,10,100,25,1,15032.8,69.9,0.665,1,1,0,2
0.872,0.108,0.02,1,0.912,4,1,0.794,87.2,0,14,100,27,1,28646.5,42.7,0.837,0,2,2,3
0.74,0.255,0.005,1,0.92,4,1,0.83,74.0,0,9,100,81,1,15080.58,69.8,0.769,1,1,1,3
0.748,0.166,0.087,1,0.94,4,1,0.829,74.8,1,6,56,41,1,15011.86,70.0,0.58,1,1,3,3
0.854,0.012,0.134,1,1.0,5,0,0.89,85.4,2,9,95,28,1,27193.05,45.6,0.871,0,1,2,3
0.12,0.401,0.479,0,0.031,0,5,0.026,12.0,7,2,28,14,1,19919.73,60.2,0.0,4,9,7,0
0.85,0.039,0.111,1,0.952,4,1,0.908,85.0,1,3,23,41,1,25340.1,49.3,0.677,0,0,1,3
0.163,0.333,0.504,0,0.103,0,5,0.084,16.3,7,4,31,51,0,19326.73,61.3,0.12,4,9,7,0
0.2,0.102,0.697,0,0.02,0,5,0.017,20.0,10,3,21,45,0,11019.59,78.0,0.088,3,9,10,0
0.309,0.416,0.275,1,0.328,1,4,0.277,30.9,4,4,48,59,0,20403.04,59.2,0.337,3,7,4,1
0.86,0.072,0.068,1,0.882,4,1,0.818,86.0,1,4,57,59,1,30098.96,39.8,0.826,0,1,2,3
